Local,Dirección,Departamento,Dirección corrregida,Latitud,Longitud,Estado
BELA 1,Av. 8 de Octubre,Montevideo ,"Montevideo, Uruguay",-34.876456,-56.142689,failed
BELA 2,Av. José Belloni ,Montevideo ,"Montevideo, Uruguay",-34.825487,-56.141112,failed
BELA 3,18 de julio ,Montevideo ,"18 de Julio, Uruguay",-34.906103,-56.194902,failed
Clinica Setiembre  (MP), Dr Prudencio de Pena ,Montevideo ,"Montevideo, Uruguay",-34.898082,-56.158916,failed
Consultorio fisioterapia Brandariz,Jose Ellauri ,Montevideo ,"José Ellauri, Uruguay",-34.908782,-56.150048,failed
Farmacia 2da. Font,Avenida 8 de Octubre ,Montevideo ,"Avenida 8 de Octubre, Uruguay",-34.858322,-56.133513,failed
Farmacia Centenario,Avenida General San Martin 2751,Montevideo ,"Avenida General San Martín, Uruguay",-34.875361,-56.185202,failed
Farmacia Luxor,Avenida Jose Belloni 4720,Montevideo ,"Avenida José Belloni, Uruguay",-34.817507,-56.138980,failed
Farmacia Patrial,Pasaje 1 Florencia y Ciceron 6206,Montevideo ,"Ciceron, Uruguay",-34.831704,-56.115681,failed
Farmacia Trouville,Solano Antuña,Montevideo ,"Montevideo, Uruguay",-34.918406,-56.153728,failed
Farmacia Trouville 2,21 de Setiembre y Luis de la Torre,Montevideo ,"Montevideo, Uruguay",-34.917596,-56.157297,failed
Farmacia Uriel,Avenida Pedro de Mendoza 5880,Montevideo ,"Avenida Don Pedro de Mendoza, Uruguay",-34.807267,-56.161601,failed
Farmashop N°2,Ruta 8 km. 30.500,Canelones,"Canelones, Uruguay",-34.726202,-55.964299,failed
Farmashop N°30,Avda. Rivera 609,Canelones,"Las Piedras, Uruguay",-34.727356,-56.215860,failed
Farmashop N°36,San Martín 3402,Montevideo ,"Avenida San Martín, Uruguay",-34.862788,-56.178783,failed
Farmashop N°45,Barra de Carrasco  ,Canelones,"Barra de Carrasco, Uruguay",-34.868585,-56.021163,failed
Farmashop N°49/OM,Strip center av. Las americas,Canelones,"Canelones, Uruguay",-34.869758,-56.031214,failed
Farmashop N°54,Solymar  Av. Giannattasio KM 22.800,Canelones,"Canelones, Uruguay",-34.829904,-55.972227,failed
Farmashop N°74,Lagomar Av. Giannattasio KM 21.800,Canelones,"Canelones, Uruguay",-34.834830,-55.980905,failed
Farmashop N°93,Doctor pouey 617,Canelones,"105 Dr. Enrique Pouey, Uruguay",-34.727404,-56.223671,failed
Ministerio de Turismo del Uruguay,Rambla 25 de Agosto 1825,Montevideo ,"Montevideo, Uruguay",-34.904290,-56.210145,failed
Uruguay Natural del Ministerio de Deporte,Rambla 25 de Agosto de 1825,Montevideo ,"Montevideo, Uruguay",-34.904290,-56.210145,failed
VETERINARIA AZUL,Bulevar Jose Batlle y Ordonez 4753,Montevideo ,"Bulevar José Batlle y Ordóñez, Uruguay",-34.848771,-56.185776,failed
VETERINARIA BUCEO,Avenida General Rivera 4170,Montevideo ,"Avenida General Rivera, Uruguay",-34.896307,-56.122503,failed
VETERINARIA DEL LITORAL,Bulevar Jose Batlle y ordonez 1903,Montevideo ,"Bulevar José Batlle y Ordóñez, Uruguay",-34.889002,-56.135075,failed
VETERINARIA EL ESTRIBO,Bulevar Jose Batlle y Ordonez 2251,Montevideo ,"Bulevar José Batlle y Ordóñez, Uruguay",-34.203545,-54.765306,failed
Municipio Dolores,Varela esq. Artigas,Soriano,"Avenida Artigas, Uruguay",-33.529677,-58.215398,failed
Muicipio Juan Lacaze,"Jose Salvo, Juan L. Lacaze, Departamento de Colonia",Colonia,"Juan L. Lacaze, Uruguay",-34.435058,-57.439122,failed
Club de Leones La Paz,Bianchi Altuna 340,Canelones,"340 H. Bianchi Altuna, Uruguay",-34.761207,-56.228694,success
CONSULTORIO ERIKA CASTROMAN,F. Garcia Cortinas 2446,Montevideo ,"2446 Francisco Garcia Cortinas, Uruguay",-34.924937,-56.158886,success
Farmacia Acuario,Avenida Jose Belloni 6374,Montevideo ,"6374 Avenida Jose Belloni, Uruguay",-34.782078,-56.135864,success
Farmacia Adropar,Comercio 2301,Montevideo ,"2301 Comercio, Uruguay",-34.879874,-56.138773,success
Farmacia Aleluya III,Camino Maldonado 4902,Montevideo ,"4902 Camino Maldonado, Uruguay",-34.855197,-56.131385,success
Farmacia Americana,Grecia 3627,Montevideo ,"3627 Grecia, Uruguay",-34.886125,-56.249003,success
Farmacia Amistad,Avenida Libertador 1607,Montevideo ,"1601,1607,1615,1623,1625 Avenida Libertador Brigadier General Lavalleja, Uruguay",-34.901153,-56.192346,success
Farmacia Andes,Andes 1193,Montevideo ,"1193 Andes, Uruguay",-34.909304,-56.197907,success
FARMACIA ANDROMEDA,Ingeniero Eduardo Garcia De Zuniga 2211,Montevideo ,"2211 Ingeniero Eduardo García de Zúñiga, Uruguay",-34.918646,-56.165607,success
Farmacia Antartida,Colonia 1475,Montevideo ,"1475BIS Colonia, Uruguay",-34.904173,-56.184595,success
Farmacia Antibes,Doctor Emilio Frugoni 949,Montevideo ,"949 Doctor Emilio Frugoni, Uruguay",-34.912126,-56.174902,success
Farmacia Arapey,Avenida General Flores 3135,Montevideo ,"3135 Avenida General Flores, Uruguay",-34.869874,-56.174357,success
Farmacia Araujo,Colombes 1428,Montevideo ,"1428 Avenida Colombes, Uruguay",-34.893583,-56.115577,success
Farmacia Arco,Bulevar Manuel Herrera y Obes 3895,Montevideo ,"3883,3885,3887,3889,3891,3893,3895,3897,3899 Bulevar Doctor Manuel Herrera y Obes, Uruguay",-34.863666,-56.216859,success
Farmacia Aries,Camino Coronel Raiz 1700,Montevideo ,"1700 Camino Coronel Raiz, Uruguay",-34.824636,-56.200327,success
Farmacia Arraga,Avenida Millan 4354,Montevideo ,"4354 Avenida Millan, Uruguay",-34.845157,-56.203535,success
Farmacia Arte,Avenida Julio Herrera y Reissig 736,Montevideo ,"736 Avenida Julio Herrera Y Reissig, Uruguay",-34.915308,-56.165646,success
Farmacia Asuncion,Avenida Joaquin Suarez 3188,Montevideo ,"3188 Avenida Joaquín Suárez, Uruguay",-34.871531,-56.196349,success
Farmacia Atahualpa,Avenida Millan 3701,Montevideo ,"3701 Avenida Millan, Uruguay",-34.859796,-56.19541,success
Farmacia Avelino,Santa Monica 2533,Montevideo ,"2533 Santa Monica, Uruguay",-34.867999,-56.060318,success
FARMACIA AVICENA,Monte Caseros 3050,Montevideo ,"3050 Monte Caseros, Uruguay",-34.881088,-56.157742,success
Farmacia Barcelona,Bulevar Espana 2319,Montevideo ,"2319 Bulevar España, Uruguay",-34.910128,-56.165318,success
FARMACIA BELLONI,Avenida Jose Belloni 4371,Montevideo ,"4371 Avenida Jose Belloni, Uruguay",-34.823709,-56.140884,success
Farmacia Beneva,21 de Setiembre 2827,Montevideo ,"2827 21 De Setiembre, Uruguay",-34.918589,-56.156278,success
Farmacia Berzelius,Lima 1610,Montevideo ,"1610 Lima, Uruguay",-34.893806,-56.18297,success
Farmacia Bristol,Avenida Doctor Luis Alberto de Herrera 4131,Montevideo ,"4131 Avenida Doctor Luis Alberto De Herrera, Uruguay",-34.860977,-56.186829,success
Farmacia Brito Del Pino,Avenida General Rivera 2674,Montevideo ,"2672,2674 Avenida General Rivera, Uruguay",-34.903226,-56.156976,success
Farmacia Burgues,Burgues 3301,Montevideo ,"3301 Burgues, Uruguay",-34.864259,-56.186921,success
Farmacia Caceres,Bulevar Espana 2941,Montevideo ,"2941 Bulevar España, Uruguay",-34.914836,-56.149862,success
Farmacia Cadorna,Ameghino 5019,Montevideo ,"5019 Ameghino, Uruguay",-34.852542,-56.242939,success
Farmacia Camaño,General Brito del Pino 1314,Montevideo ,"1312,1314 General José Esteban Brito del Pino, Uruguay",-34.904887,-56.157925,success
Farmacia Carmen,Bulevar General Artigas 3847,Montevideo ,"3847 Bulevar General Artigas, Uruguay",-34.871394,-56.187245,success
FARMACIA CAROMAR,Veracierto 2844,Montevideo ,"2844 Veracierto, Uruguay",-34.8654,-56.121124,success
Farmacia Cerrito De La Victoria,Avenida General Flores 4000,Montevideo ,"4000 Avenida General Flores, Uruguay",-34.85631,-56.163318,success
Farmacia Cielmar,Juncal 139,Montevideo ,"Juncal, Uruguay",-34.905311,-56.201298,success
Farmacia City,Patria 649,Montevideo ,"649 Patria, Uruguay",-34.916911,-56.164999,success
Farmacia Congreso,Avenida Libertador  1953,Montevideo ,"1953 Avenida Libertador Brigadier General Lavalleja, Uruguay",-34.894824,-56.189228,success
Farmacia Constitucion,Presidente Berro 2501,Montevideo ,"2501 Presidente Berro, Uruguay",-34.890875,-56.163975,success
Farmacia Constitucion Sur,Camino Maldonado 5516,Montevideo ,"5516 Camino Maldonado, Uruguay",-34.845789,-56.12564,success
Farmacia Cooper,Fedra 6496,Montevideo ,"6496 Fedra, Uruguay",-34.874184,-56.069342,success
Farmacia Coral,Bulevar Jose Batlle y Ordonez 1735,Montevideo ,"1731,1733,1735 Bulevar José Batlle y Ordóñez, Uruguay",-34.893259,-56.129773,success
Farmacia Corominas,Avenida 8 de octubre 2689,Montevideo ,"2689 Avenida 8 de Octubre, Uruguay",-34.889563,-56.160556,success
Farmacia Cosmos,Luis Alberto de Herrera 4488,Montevideo ,"4486,4488,4490,4492 Avenida Luis Alberto de Herrera, Uruguay",-34.85738,-56.195901,success
Farmacia Costa Rosa,Avenida Agraciada 4140,Montevideo ,"4140 Avenida Agraciada, Uruguay",-34.857331,-56.218679,success
Farmacia Cranwell,Ramon Masini 3379,Montevideo ,"3379 Ramon Masini, Uruguay",-34.91209,-56.14796,success
Farmacia Crisana,Avenida 8 de Octubre 2943,Montevideo ,"2941,2943,2949 Avenida 8 de Octubre, Uruguay",-34.885118,-56.156749,success
Farmacia Cuareim,Soriano 1202,Montevideo ,"1202 Soriano, Uruguay",-34.907765,-56.189859,success
Farmacia Cuña,Avenida General Garibaldi 2144,Montevideo ,"2144 Avenida General Jose Garibaldi, Uruguay",-34.8792,-56.173389,success
Farmacia Darsena,Calle Perez Castellano 1483,Montevideo ,"1483 Perez Castellano, Uruguay",-34.907003,-56.210902,success
Farmacia De Las Acacias,General Flores 4604,Montevideo ,"4604 Avenida General Flores, Uruguay",-34.846525,-56.155292,success
Farmacia De Leon,Avenida Carlos Maria Ramirez 180,Montevideo ,"180 Avenida Carlos María Ramírez, Uruguay",-34.856656,-56.22479,success
Farmacia De Los Santos,Bulevar Aparicio Saravia 4644,Montevideo ,"4644 Bulevar Aparicio Saravia, Uruguay",-34.826537,-56.2015,success
Farmacia De Marco,Avenida Doctor Luis Alberto de Herrera 2957,Montevideo ,"2957 Avenida Doctor Luis Alberto De Herrera, Uruguay",-34.874854,-56.158809,success
Farmacia De Maria,Avenida General Rivera 2044,Montevideo ,"2044,2046,2046 BIS Avenida General Rivera, Uruguay",-34.902324,-56.171991,success
Farmacia Del Andaluz,Avenida Bolivia 2790,Montevideo ,"2790 Avenida Bolivia, Uruguay",-34.873107,-56.095209,success
Farmacia Del Cerro,Avenida Carlos Maria Ramirez 1682,Montevideo ,"1680,1682,1684,1678 BIS Avenida Carlos María Ramírez, Uruguay",-34.874016,-56.250846,success
Farmacia Del Norte,J Batlle y Ordoñez 4552,Montevideo ,"4552 Bulevar José Batlle y Ordóñez, Uruguay",-34.853016,-56.181747,success
Farmacia Del Norte II,Americo Vespucio 1408,Montevideo ,"1408 Américo Vespucio, Uruguay",-34.868613,-56.191505,success
Farmacia Del Reducto,Avenida General San Martin 2585,Montevideo ,"2585 Avenida General San Martin, Uruguay",-34.878572,-56.186402,success
Farmacia Del Rey,Vilardebo 1252,Montevideo ,"1252 Vilardebó, Uruguay",-34.877493,-56.191902,success
Farmacia del Verdun,Uruguayana 3382,Montevideo ,"3382BIS Uruguayana, Uruguay",-34.872127,-56.206633,success
Farmacia Del Zoo,Avenida General Rivera 3258,Montevideo ,"3252,3254,3258 Avenida General Rivera, Uruguay",-34.902807,-56.14477,success
Farmacia Diagonal,Avenida Brigadier General Juan Antonio Lavalleja 1444,Montevideo ,"1444 Avenida Libertador Brigadier General Juan Antonio Lavalleja, Uruguay",-34.904416,-56.193453,success
Farmacia Diana,Avenida General Flores 2432,Montevideo ,"2432 Avenida General Flores, Uruguay",-34.8829,-56.182778,success
Farmacia Diva,Avenida General Flores 5027,Montevideo ,"5027 Avenida General Flores, Uruguay",-34.839104,-56.149737,success
Farmacia Don Bosco,San Martín 3659 ,Montevideo ,"3659 Avenida General San Martín, Uruguay",-34.857461,-56.175808,success
Farmacia Don Bosco II,Garibaldi 1759 ,Montevideo ,"1759 Avenida General Jose Garibaldi, Uruguay",-34.875645,-56.181063,success
Farmacia Dr. Ocasión,Veinticinco de Mayo 392,Montevideo ,"392 Veinticinco De Mayo, Uruguay",-34.906655,-56.207843,success
Farmacia Duzar,Bulevar General Artigas 4396,Montevideo ,"4396,4396 A,4396 BIS Bulevar General Artigas, Uruguay",-34.872018,-56.20184,success
Farmacia El Cairo,Presidente Ingeniero Jose Serrato 3450,Montevideo ,"3450 Presidente Ingeniero Jose Serrato, Uruguay",-34.85785,-56.153079,success
Farmacia El Tunel (central),Republica 1573,Montevideo ,"1573 Republica, Uruguay",-34.899245,-56.173403,success
Farmacia EL TUNEL 2,Solano Garcia 2585,Montevideo ,"2585 Solano Garcia, Uruguay",-34.92391,-56.156774,success
FARMACIA EL TUNEL 3,Juan Benito Blanco 3351,Montevideo ,"3397 26 De Marzo, Uruguay",-34.906215,-56.13972,success
Farmacia El Tunel 4,Avenida Juan Bautista Alberdi 6597,Montevideo ,"6597 Avenida Doctor Juan Bautista Alberdi, Uruguay",-34.879728,-56.063707,success
Farmacia El Tunel 6,Hipolito Hirigoyen 1599,Montevideo ,"1599 Hipolito Yrigoyen, Uruguay",-34.891332,-56.108974,success
Farmacia El Tunel 7,Avenida Agraciada 4089,Montevideo ,"4089 Avenida Agraciada, Uruguay",-34.858804,-56.217351,success
Farmacia El Tunel Tres Cruces,Avelino Miranda,Montevideo ,"Avelino Miranda, Uruguay",-34.894373,-56.161904,success
Farmacia Elhordoy,Juan Carlos Blanco 3420,Montevideo ,"3420 Avenida Doctor Juan Carlos Blanco, Uruguay",-34.868406,-56.200826,success
Farmacia Emporio,Avenida General Rondeau 1458,Montevideo ,"1458 Avenida General Rondeau, Uruguay",-34.903773,-56.191462,success
Farmacia Erosa,Jose Enrique Rodo 2101,Montevideo ,"2101 Jose Enrique Rodo, Uruguay",-34.903242,-56.171137,success
Farmacia Estefania,Isidro Mas de Ayala 5359,Montevideo ,"5359 Doctor Isidro Mas De Ayala, Uruguay",-34.832585,-56.172791,success
Farmacia Etchessarry,Avenida Carlos Maria Ramirez 2348,Montevideo ,"2346,2348,2346 BIS Avenida Carlos María Ramírez, Uruguay",-34.875894,-56.265223,success
Farmacia Exifar,Av Centenario 2843,Montevideo ,"2843 Av Centenario, Uruguay",-34.888636,-56.154428,success
Farmacia Exifarm,Av.Centenario 2843,Montevideo ,"2843 Avenida Centenario, Uruguay",-34.888635,-56.154424,success
Farmacia Ferpa,Avenida Lezica 6326,Montevideo ,"6326 Avenida Lezica, Uruguay",-34.796941,-56.247131,success
Farmacia Ferrero,Avenida Daniel Feranandez Crespo 2221,Montevideo ,"2221 Avenida Daniel Fernandez Crespo, Uruguay",-34.893012,-56.184954,success
Farmacia Franco Belga,Grecia 4090,Montevideo ,"4090BIS Grecia, Uruguay",-34.877933,-56.250497,success
Farmacia Galena,Arenal Grande 1352,Montevideo ,"1352 Arenal Grande, Uruguay",-34.903317,-56.173029,success
Farmacia Garate,Ejido 1401,Montevideo ,"1401 Ejido, Uruguay",-34.904503,-56.187073,success
Farmacia Garibaldi,Avenida General Garibaldi 2250,Montevideo ,"2250 Avenida General José Garibaldi, Uruguay",-34.880946,-56.17064,success
Farmacia Geminis,Av. Garzón 542,Montevideo ,"542 Avenida General Eugenio Garzon, Uruguay",-34.843375,-56.221728,success
Farmacia Gerard,Avenida Carlos Maria Ramirez 1097,Montevideo ,"1097 Avenida Carlos María Ramírez, Uruguay",-34.868922,-56.239312,success
Farmacia Gilda,Avenida Millan 2744,Montevideo ,"2744 Avenida Millán, Uruguay",-34.875957,-56.187508,success
Farmacia Goes,Gral. Flores 2837,Montevideo ,"2837 Avenida General Flores, Uruguay",-34.875838,-56.17924,success
Farmacia GOLONDRINA II,Avenida General Rivera 3349,Montevideo ,"3349 Avenida General Rivera, Uruguay",-34.902164,-56.142383,success
Farmacia Goñi,Av. Luis A. de Herrera 3696,Montevideo ,"3696 Avenida Doctor Luis Alberto De Herrera, Uruguay",-34.865018,-56.174544,success
Farmacia Goñi Central,Avenida doctor Luis Alberto de Herrera 3696,Montevideo ,"3696 Avenida Doctor Luis Alberto De Herrera, Uruguay",-34.865018,-56.174544,success
Farmacia Guarani,Avenida Doctor Luis Alberto de Herrera 2569,Montevideo ,"2569 Avenida Doctor Luis Alberto De Herrera, Uruguay",-34.881657,-56.153021,success
Farmacia Hector,Camino Maldonado 6059,Montevideo ,"6059 Camino Maldonado, Uruguay",-34.836106,-56.11533,success
Farmacia Ideal,Camino Castro 552,Montevideo ,"552 Camino Castro, Uruguay",-34.851666,-56.205728,success
Farmacia Industria,Presidente Ingeniero Jose Serrato 3549,Montevideo ,"3549 Presidente Ingeniero Jose Serrato, Uruguay",-34.856313,-56.156511,success
Farmacia Jardin,BATLLE Y ORD 3449,Montevideo ,"3449 Bulevar José Batlle y Ordóñez, Uruguay",-34.870623,-56.159456,success
Farmacia Juniors,Yegros 2088,Montevideo ,"2088 Yegros, Uruguay",-34.800049,-56.228496,success
Farmacia Kenny,Avenida General Rondeau 1685,Montevideo ,"1685 Avenida General Rondeau, Uruguay",-34.8998,-56.192137,success
Farmacia La Gruta,Av. Luis B. Berres 4720 ,Montevideo ,"4720 Avenida Luis Batlle Berres, Uruguay",-34.853924,-56.235695,success
Farmacia La Milagrosa,Avenida General Rivera 2475,Montevideo ,"2475 Avenida General Rivera, Uruguay",-34.902658,-56.161867,success
Farmacia La Toja,Capurro 763,Montevideo ,"763A Capurro, Uruguay",-34.871133,-56.213136,success
Farmacia Lago,Bogota 4247,Montevideo ,"4247 Bogota, Uruguay",-34.875632,-56.254455,success
Farmacia Lang,Almeria 4600,Montevideo ,"4600 Almería, Uruguay",-34.894487,-56.109892,success
Farmacia Las Torres,Miguel de Unamuno 2435,Montevideo ,"2435 Miguel De Unamuno, Uruguay",-34.850334,-56.272984,success
Farmacia Latina,Avenida 8 de Octubre 3055,Montevideo ,"3055,3057,3055 BIS Avenida 8 de Octubre, Uruguay",-34.882818,-56.154094,success
Farmacia Libra II,Uruguay 1350,Montevideo ,"1350 Avenida Uruguay, Uruguay",-34.902844,-56.187296,success
Farmacia Los Faroles,Durazno 1102,Montevideo ,"1102 Durazno, Uruguay",-34.910718,-56.191858,success
Farmacia Lourdes,Alfredo Baldomir 2353,Montevideo ,"2353 General Arquitecto Alfredo Baldomir, Uruguay",-34.9088,-56.163159,success
Farmacia Lucía,Locarno 3661,Montevideo ,"3661BIS Locarno, Uruguay",-34.835523,-56.136203,success
Farmacia Lucian,Avenida General San Martin 2959,Montevideo ,"2959 Avenida General San Martin, Uruguay",-34.8717,-56.182724,success
Farmacia Lujan,Avenida 18 de Julio 2176,Montevideo ,"2176,2178,2180,2182,2184 Avenida 18 de Julio, Uruguay",-34.898986,-56.168137,success
Farmacia Lulisan,Avenida 8 de Octubre 4560,Montevideo ,"4554,4560,4562,4566 Avenida 8 de Octubre, Uruguay",-34.861425,-56.133652,success
Farmacia Lybe,Avenida Luis Batlle Berres 5844,Montevideo ,"5844 Avenida Luis Batlle Berres, Uruguay",-34.841254,-56.25771,success
Farmacia Machado,Bulevar General Artigas 2947,Montevideo ,"2947 Bulevar General Artigas, Uruguay",-34.873126,-56.16765,success
Farmacia Machado 2,Bulevar General Artigas 1999,Montevideo ,"1999 Bulevar General Artigas, Uruguay",-34.890757,-56.165665,success
Farmacia Machado 3,Bulevar General Artigas 2797,Montevideo ,"2797 Bulevar General Artigas, Uruguay",-34.875938,-56.16732,success
Farmacia Machado 4,Monte Caseros 2580,Montevideo ,"2580 Monte Caseros, Uruguay",-34.888789,-56.165097,success
Farmacia Machado 5,Bulevar General Artigas 2251,Montevideo ,"2251 Bulevar General Artigas, Uruguay",-34.885918,-56.166184,success
Farmacia Madelca,Jose L Osorio 1301,Montevideo ,"1301 Jose L Osorio, Uruguay",-34.90467,-56.142962,success
Farmacia Maipu,Avenida Ramon Anador 3306,Montevideo ,"3306 Avenida Ramón Anador, Uruguay",-34.896202,-56.145459,success
Farmacia Mamita,Atahona 3601,Montevideo ,"3601 Atahona, Uruguay",-34.851941,-56.190241,success
Farmacia Manga,Avenida Jose Belloni 5314,Montevideo ,"5314 Avenida Jose Belloni, Uruguay",-34.80685,-56.13691,success
Farmacia Marazul 2-Pigalle,Avenida 18 de Julio 2151,Montevideo ,"2151 Avenida 18 de Julio, Uruguay",-34.89893,-56.168712,success
Farmacia Maresca,Avenida Carlos Maria Ramirez 900,Montevideo ,"900 Avenida Carlos María Ramírez, Uruguay",-34.866145,-56.236361,success
Farmacia Mariano Soler,Santa Fe 1202,Montevideo ,"1202 Santa Fe, Uruguay",-34.882033,-56.19177,success
Farmacia Marilour,Avenida General San Martin 2151,Montevideo ,"2151 Avenida General San Martin, Uruguay",-34.886692,-56.188131,success
Farmacia Mastil,Avenida Agraciada 3855,Montevideo ,"3855 Avenida Agraciada, Uruguay",-34.861606,-56.213517,success
Farmacia Matias Gonzalez,Colonia 840,Montevideo ,"840 Colonia, Uruguay",-34.905525,-56.198523,success
Farmacia Medio Mundo,Zelmar Michjelini 1104,Montevideo ,"1104 Zelmar Michelini, Uruguay",-34.910358,-56.189683,success
Farmacia Medio Siglo,Avenida General Rivera 2690,Montevideo ,"2690,2688 BIS,2690 BIS,2690 A Avenida General Rivera, Uruguay",-34.90324,-56.15633,success
Farmacia Medio Siglo 2,Bulevar Jose Batlle y ordonez 1829,Montevideo ,"1827,1829 Bulevar José Batlle y Ordóñez, Uruguay",-34.892375,-56.130887,success
Farmacia Mesa 1,Camino Felipe Cardoso ,Montevideo ,"Camino Felipe Cardoso, Uruguay",-34.851454,-56.099978,success
Farmacia Milena,Jose Antonio Cabrera 3650,Montevideo ,"3650 José Antonio Cabrera, Uruguay",-34.877795,-56.141593,success
Farmacia Minas,Minas 1150,Montevideo ,"1150 Minas, Uruguay",-34.908939,-56.179374,success
Farmacia Mississipi,Missisipi 1647,Montevideo ,"1647 Missisipi, Uruguay",-34.891384,-56.096195,success
Farmacia Moderna II,Cufre 1902,Montevideo ,"1902 Cufre, Uruguay",-34.892899,-56.168862,success
Farmacia MP Carrasco, Av Pedro Blanes Viale 6358,Montevideo ,"6358 Av Pedro Blanes Viale, Uruguay",-34.890374,-56.059039,success
Farmacia MP Ricaldoni,Av. Dr. Américo Ricaldoni 2474,Montevideo ,"2474 Av Dr Americo Ricaldoni, Uruguay",-34.897741,-56.158621,success
Farmacia Mykonos,Canelones 2301,Montevideo ,"2301 Canelones, Uruguay",-34.906737,-56.164808,success
Farmacia Nesant,Avenida Italia 5016,Montevideo ,"5016 Avenida Italia, Uruguay",-34.886069,-56.099653,success
Farmacia Niza,San Quintin 4306,Montevideo ,"4306 San Quintin, Uruguay",-34.854162,-56.221982,success
Farmacia Notti,Jose Batlle y Ordoñez 6621,Montevideo ,"6603,6607,6609,6611,6615,6617,6619,6621,6771 Bulevar José Batlle y Ordóñez, Uruguay",-34.825365,-56.223908,success
Farmacia Nueva Clio,Avenida 8 de Octubre 3550,Montevideo ,"3546,3548,3550 Avenida 8 de Octubre, Uruguay",-34.877764,-56.14505,success
Farmacia Nueva Israelita,Avenida General Flores 2542,Montevideo ,"2542 Avenida General Flores, Uruguay",-34.881003,-56.181711,success
Farmacia Nueva Rondeau,Avenida General Rondeau 2113,Montevideo ,"2113 Avenida General Rondeau, Uruguay",-34.89082,-56.1931,success
Farmacia Olivencia,Maldonado 1349,Montevideo ,"1349 Maldonado, Uruguay",-34.90924,-56.186603,success
Farmacia Oriente,San Jose 1350,Montevideo ,"1350 San Jose, Uruguay",-34.90669,-56.187088,success
Farmacia Osacar,Avenida Millan 4502,Montevideo ,"4502 Avenida Millán, Uruguay",-34.84192,-56.208826,success
Farmacia Pajas Blancas,Capitan Pedro de Mesa y Castro 7995,Montevideo ,"7995 Capitán Pedro de Mesa y Castro, Uruguay",-34.867415,-56.335483,success
Farmacia Palermo,Ingeniero Carlos Maria Morales 946,Montevideo ,"902,906,912,916,920,926,928,930,932,934,936,938,940,942,944,946 Doctor Carlos María Morales, Uruguay",-34.912699,-56.18339,success
