Informacion,Latitud *,Longitud *,Departamento *,Localidad *,Dirección,Tipo_local *,Descripcion_tipo,Horario,Recoleccion
Máquina de smk receptora de envases retornables,-34.72921,-56.21667,Montevideo,Montevideo,Juan Antonio Lavalleja 671,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.869597,-56.021049,Montevideo,Montevideo,Avda Del Parque Roosevelt 2495,Supermercado/Comercio,Macromercado,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.914361,-56.183808,Montevideo,Montevideo,Javier Barrios Amorin 859,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.892008,-56.125061,Montevideo,Montevideo,Av Francisco Solano Lopez 1680,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.862953,-56.231342,Montevideo,Montevideo,Avda Carlos Maria Ramirez 574,Supermercado/Comercio,Macromercado,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.9119,-56.159781,Montevideo,Montevideo,Obligado 968,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.729267,-56.223628,Montevideo,Montevideo,Enrique Pouey 624,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.802119,-56.87367,Montevideo,Montevideo,Ruta 8 7726,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.887494,-56.141408,Montevideo,Montevideo,Magariños Cervantes 2052,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.82666,-56.11717,Montevideo,Montevideo,Bulevar Aparicio Saravia 2136,Supermercado/Comercio,Tienda Inglesa,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.852417,-56.223964,Montevideo,Montevideo,San Quintin 4376,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.868842,-56.170808,Montevideo,Montevideo,Gualeguay 3350,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.916539,-56.158508,Montevideo,Montevideo,21 De Setiembre 2715,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.901364,-56.138831,Montevideo,Montevideo,Avda Gral Rivera 3484,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.895881,-56.165906,Montevideo,Montevideo,Mario Cassinoni 1673/75,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.900581,-56.172483,Montevideo,Montevideo,Avda 18 De Julio 2005,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.914181,-56.149631,Montevideo,Montevideo,Juan Benito Blanco 919,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.904083,-56.196403,Montevideo,Montevideo,Mercedes 949,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.905406,-56.163544,Montevideo,Montevideo,Bvar Gral Artigas 1205,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.8766,-56.18564,Montevideo,Montevideo,Avenida General San Martín 2700,Supermercado/Comercio,Ta-Ta,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.889853,-56.16525,Montevideo,Montevideo,Bvar Gral Artigas 1986,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.906353,-56.2011,Montevideo,Montevideo,Sarandi 700,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.904583,-56.1838,Montevideo,Montevideo,Avda 18 De Julio 1491/93,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.874717,-56.158853,Montevideo,Montevideo,Avda Luis A De Herrera 2940,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.885886,-56.153147,Montevideo,Montevideo,Avda Centenario 2971,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.902603,-56.178039,Montevideo,Montevideo,Avda 18 De Julio 1764,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.908469,-56.188792,Montevideo,Montevideo,Canelones 1251,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.898922,-56.168078,Montevideo,Montevideo,Avda 18 De Julio 2160,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.904042,-56.159183,Montevideo,Montevideo,Avda Gral Rivera 2454,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.893606,-56.187556,Montevideo,Montevideo,Yaguaron 2056,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.919581,-56.152453,Montevideo,Montevideo,21 De Setiembre 2998,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.870078,-56.070669,Montevideo,Montevideo,Cno Carrasco 6955,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.895817,-56.189653,Montevideo,Montevideo,Avda Del Libertador 1895,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.865003,-56.033317,Montevideo,Montevideo,Avda De Las Americas 6000,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.9067,-56.192898,Montevideo,Montevideo,San Jose 1087,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-348867652,-56.107361,Montevideo,Montevideo,Oviedo 4723,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.907169,-56.206047,Montevideo,Montevideo,Misiones 1373,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-349084842,-561358666,Montevideo,Montevideo,Avda Luis A De Herrera 1056,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.869178,-56.208592,Montevideo,Montevideo,Avda Agraciada 3199,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.870581,-56.107078,Montevideo,Montevideo,Zum Felde 2292,Supermercado/Comercio,Tienda Inglesa,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-348905907,-56192965,Montevideo,Montevideo,Rondeau 2132,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.893636,-56.161754,Montevideo,Montevideo,Avda Italia 2484,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.898897,-56.175733,Montevideo,Montevideo,Arenal Grande 1605,Supermercado/Comercio,Tienda Inglesa,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.9103,-56.148058,Montevideo,Montevideo,Pedro Berro 1216,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.892925,-56.115858,Montevideo,Montevideo,Avda Italia 4280,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.86046,-56.232788,Montevideo,Montevideo,Jose Marmol 580,Supermercado/Comercio,Macromercado,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.867894,-56.178853,Montevideo,Montevideo,Jose Maria Penco 3275,Supermercado/Comercio,Macromercado,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.911618,-56.159714,Montevideo,Montevideo,Libertad 2477,Supermercado/Comercio,Tienda Inglesa,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.88414,-56.15129,Montevideo,Montevideo,Prof Dr. Pablo Purriel 3147,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
